team__displayName,team__abbrName,team__logoId,player__position,player__rosterId,player__fullName,player__yearsPro,player__injuryLength,player__portraitId,player__jerseyNum,gamesPlayed,fantasy_points,rushTotalAtt,rushTotalBrokenTackles,rushTotalFum,rushTotalLongest,rushTotalTDs,rushTotal20PlusYds,rushTotalYdsAfterContact,rushTotalYds,rushAvgYdsAfterContact,rushAvgYdsPerAtt,rushAvgYdsPerGame
49ers,SF,14,TE,551029064,Ja'Tavion Sanders,1,0,10242,85,1,0.00,0,1,0,0,0,0,0,0,0.00,0.00,0.00
49ers,SF,14,QB,551029425,Jordan Travis,1,0,10269,6,1,0.00,1,0,0,3,0,0,0,3,0.00,3.00,0.21
49ers,SF,14,WR,551029601,Jordan Whittington,1,0,10292,88,1,0.00,0,1,0,0,0,0,0,0,0.00,0.00,0.00
49ers,SF,14,HB,551029468,Sione Vaki,1,0,10277,33,5,14.30,23,4,0,20,1,1,28,83,5.60,3.61,7.55
49ers,SF,14,QB,551029745,Bryce Young,2,0,2638,4,17,167.38,58,2,4,16,2,0,15,193,0.88,3.33,11.35
49ers,SF,14,HB,551027016,Chase Brown,2,0,1827,24,2,7.50,2,0,0,14,1,0,1,15,0.50,7.50,3.28
49ers,SF,14,WR,551027303,Derius Davis,2,0,3053,12,4,-2.00,0,4,1,0,0,0,0,0,0.00,0.00,0.00
49ers,SF,14,TE,551028325,Isaiah Likely,3,6,1807,80,6,35.80,0,7,0,0,0,0,0,0,0.00,0.00,0.00
49ers,SF,14,WR,551029630,Jameson Williams,3,0,2033,9,12,97.50,6,26,1,9,0,0,0,27,0.00,4.50,1.59
49ers,SF,14,HB,551029321,Jonathan Taylor,5,19,604,28,14,116.70,214,47,0,38,10,5,274,1025,19.57,4.79,73.21
49ers,SF,14,FB,551028084,Jakob Johnson,6,0,393,38,2,1.30,1,1,0,3,0,0,0,3,0.00,3.00,0.18
49ers,SF,14,WR,551027025,Marquise Brown,6,0,9402,5,7,21.10,0,10,1,0,0,0,0,0,0.00,0.00,0.00
49ers,SF,14,WR,551027768,Mecole Hardman Jr,6,0,9489,17,9,27.80,5,8,0,8,0,0,0,21,0.00,4.20,1.24
49ers,SF,14,HB,551029089,Boston Scott,7,0,9350,30,8,17.70,39,3,1,7,3,0,2,119,0.25,3.05,14.88
Bears,CHI,0,HB,551026726,Rasheen Ali,1,0,9995,35,4,-1.40,4,3,1,3,0,0,0,6,0.00,1.50,0.38
Bears,CHI,0,WR,551029674,Roman Wilson,1,0,10303,10,9,13.70,0,17,2,0,0,0,0,0,0.00,0.00,0.00
Bears,CHI,0,QB,551028918,Spencer Rattler,1,0,10220,18,1,1.80,3,0,0,14,0,0,7,18,7.00,6.00,1.29
Bears,CHI,0,WR,551028768,Tejhaun Palmer,1,0,0,83,2,5.40,0,2,0,0,0,0,0,0,0.00,0.00,0.00
Bears,CHI,0,QB,551029279,C.J. Stroud,2,0,2417,7,15,121.32,20,4,9,17,0,0,18,145,1.20,7.25,8.53
Bears,CHI,0,TE,551027870,Elijah Higgins,2,0,2209,84,2,0.00,0,3,0,0,0,0,0,0,0.00,0.00,0.00
Bears,CHI,0,TE,551028640,Luke Musgrave,2,0,3364,88,7,44.50,0,11,0,0,0,0,0,0,0.00,0.00,0.00
Bears,CHI,0,WR,551029095,Tyler Scott,2,0,2386,13,4,22.10,0,14,0,0,0,0,0,0,0.00,0.00,0.00
Bears,CHI,0,WR,551029666,Garrett Wilson,3,0,2040,5,12,52.60,2,26,0,3,0,0,0,0,0.00,0.00,0.00
Bears,CHI,0,WR,551028836,George Pickens,3,0,1888,14,7,19.90,1,11,1,0,0,0,0,-2,0.00,-2.00,-0.13
Bears,CHI,0,HB,551027675,Tyler Goodson,3,0,1736,34,1,0.50,1,1,0,0,0,0,2,-1,2.00,-1.00,-0.06
Bears,CHI,0,WR,551028045,Van Jefferson,5,0,386,11,1,0.00,0,2,0,0,0,0,0,0,0.00,0.00,0.00
Bears,CHI,0,HB,551028863,Tony Pollard,6,0,9600,20,17,53.40,106,33,4,23,5,2,136,473,8.00,4.46,27.82
Bears,CHI,0,TE,551029353,Ian Thomas,7,0,9078,80,3,0.00,2,2,0,1,0,0,3,0,1.00,0.00,0.00
Bengals,CIN,1,WR,551029774,Tyler Harrell,1,0,0,81,7,-2.00,0,6,1,0,0,0,0,0,0.00,0.00,0.00
Bengals,CIN,1,WR,551029716,Xavier Worthy,1,0,10305,1,5,1.10,1,9,0,1,0,0,1,1,0.20,1.00,0.06
Bengals,CIN,1,WR,551027973,Jalin Hyatt,2,0,2219,13,2,2.50,0,1,2,0,0,0,0,0,0.00,0.00,0.00
Bengals,CIN,1,WR,551028769,Trey Palmer,2,0,2608,10,9,35.40,3,19,0,34,0,1,9,36,1.00,12.00,2.12
Bengals,CIN,1,HB,551027144,Zach Charbonnet,2,0,1919,26,15,77.12,165,41,1,66,6,3,259,824,17.27,4.99,54.93
Bengals,CIN,1,WR,551027698,Danny Gray,3,0,1741,6,5,3.10,0,7,0,0,0,0,0,0,0.00,0.00,0.00
Bengals,CIN,1,TE,551029037,Jeremy Ruckert,3,0,1932,89,1,0.00,0,1,0,0,0,0,0,0,0.00,0.00,0.00
Bengals,CIN,1,HB,551027326,Tyrion Davis-Price,3,0,1328,35,8,29.30,46,14,3,24,3,1,40,173,5.00,3.76,13.31
Bengals,CIN,1,HB,551028997,James Robinson,5,0,553,32,2,6.70,2,0,0,8,1,0,1,7,0.50,3.50,0.41
Bengals,CIN,1,HB,551028197,Joshua Kelley,5,0,409,39,8,13.50,18,5,0,13,1,0,11,90,1.38,5.00,7.50
Bengals,CIN,1,QB,551029553,Deshaun Watson,8,0,8769,4,14,112.68,44,2,4,16,0,0,11,132,0.79,3.00,7.76
Bengals,CIN,1,WR,551027263,Jamison Crowder,10,0,7066,80,4,9.70,3,4,0,10,0,0,1,21,0.25,7.00,1.31
Bills,BUF,2,HB,551029729,Jaylen Wright,1,0,10306,25,17,213.00,274,65,2,77,22,16,404,1647,23.76,6.01,96.88
Bills,BUF,2,WR,551027234,Malachi Corley,1,0,0,17,1,0.90,0,1,0,0,0,0,0,0,0.00,0.00,0.00
Bills,BUF,2,WR,551028936,Jayden Reed,2,0,2365,11,7,41.10,3,5,1,8,1,0,0,6,0.00,2.00,0.38
Bills,BUF,2,QB,551027404,Max Duggan,2,0,2118,8,16,165.60,51,2,1,35,4,1,14,177,0.88,3.47,10.41
Bills,BUF,2,HB,551028098,Roschon Johnson,2,0,2604,23,4,7.10,5,2,0,6,1,0,5,11,1.25,2.20,0.65
Bills,BUF,2,TE,551027094,Grant Calcaterra,3,0,2067,81,1,1.00,0,0,1,0,0,0,0,0,0.00,0.00,0.00
Bills,BUF,2,WR,551029085,Anthony Schwartz,4,0,1363,86,4,3.90,1,5,1,6,0,0,2,6,0.50,6.00,0.50
Bills,BUF,2,WR,551029457,KaVontae Turpin,4,0,0,9,3,0.70,1,4,0,7,0,0,2,7,0.67,7.00,0.41
Bills,BUF,2,WR,551026857,Rashod Bateman,4,0,1236,7,2,18.80,1,2,0,5,0,0,0,5,0.00,5.00,0.36
Bills,BUF,2,QB,551027967,Tyler Huntley,5,0,904,10,2,1.12,6,1,0,6,0,0,8,3,4.00,0.50,0.20
Bills,BUF,2,TE,551028732,Josh Oliver,6,0,9590,84,5,29.20,0,4,1,0,0,0,0,0,0.00,0.00,0.00
Bills,BUF,2,HB,551027429,Chase Edmonds,7,0,8873,22,9,29.80,36,6,0,47,6,3,53,257,5.89,7.14,15.12
Bills,BUF,2,WR,551027028,Noah Brown,8,0,8492,85,4,17.30,0,6,0,0,0,0,0,0,0.00,0.00,0.00
Broncos,DEN,3,HB,551026999,Jonathon Brooks,1,0,10022,24,17,149.30,252,46,6,47,16,12,303,1268,17.82,5.03,74.59
Broncos,DEN,3,WR,551028455,Ladd McConkey,1,0,10169,15,7,40.70,8,8,0,7,1,0,0,33,0.00,4.12,1.94
Broncos,DEN,3,WR,551026704,Jordan Addison,2,6,813,3,6,38.70,0,7,2,0,0,0,0,0,0.00,0.00,0.00
Broncos,DEN,3,HB,551029224,Tyjae Spears,2,0,2405,2,9,12.40,17,2,0,10,1,0,20,64,2.22,3.76,3.76
Broncos,DEN,3,TE,551028239,Charlie Kolar,3,0,1802,88,3,8.60,0,3,0,0,0,0,0,0,0.00,0.00,0.00
Broncos,DEN,3,QB,551028150,Mac Jones,4,0,1371,10,2,6.00,2,0,0,1,1,0,0,0,0.00,0.00,0.00
Broncos,DEN,3,WR,551028591,Rondale Moore,4,0,1264,14,3,7.70,0,4,1,0,0,0,0,0,0.00,0.00,0.00
Broncos,DEN,3,QB,551028285,Trevor Lawrence,4,0,1372,16,17,233.92,61,8,5,51,3,1,42,379,2.47,6.21,22.29
Broncos,DEN,3,WR,551028750,K.J. Osborn,5,0,502,87,8,52.90,0,9,0,0,0,0,0,0,0.00,0.00,0.00
Broncos,DEN,3,TE,551029084,Dalton Schultz,7,0,9050,85,9,44.60,0,16,0,0,0,0,0,0,0.00,0.00,0.00
Broncos,DEN,3,WR,551028032,Richie James,7,0,8944,17,7,-2.00,0,13,1,0,0,0,0,0,0.00,0.00,0.00
Browns,CLE,4,WR,551027474,D'Wayne Eskridge,3,0,1268,86,4,0.00,0,4,0,0,0,0,0,0,0.00,0.00,0.00
Browns,CLE,4,QB,551028838,Kenny Pickett,3,0,1889,7,2,-0.40,4,0,0,0,0,0,0,-4,0.00,-1.00,-0.29
Browns,CLE,4,HB,551029593,Rachaad White,3,0,2028,1,12,43.30,99,13,2,33,5,2,43,474,3.58,4.79,29.63
Browns,CLE,4,HB,551027605,Kenneth Gainwell,4,0,1300,14,3,4.90,22,4,0,7,0,0,2,49,0.67,2.23,3.50
Browns,CLE,4,FB,551028355,John Lovett,6,0,1476,46,1,7.90,5,3,0,6,1,0,2,19,2.00,3.80,6.33
Browns,CLE,4,WR,551028226,Christian Kirk,7,0,8963,89,10,50.80,12,7,2,24,0,1,10,54,1.00,4.50,3.18
Browns,CLE,4,TE,551027664,Dallas Goedert,7,0,8901,88,2,10.20,0,3,0,0,0,0,0,0,0.00,0.00,0.00
Browns,CLE,4,QB,551026737,Josh Allen,7,0,8800,17,17,187.58,104,28,4,36,12,7,131,623,7.71,5.99,36.65
Browns,CLE,4,HB,551026834,Saquon Barkley,7,19,8813,26,12,118.60,156,32,2,73,11,1,119,806,9.92,5.17,67.17
Browns,CLE,4,WR,551026952,Kendrick Bourne,8,0,9146,84,4,9.40,0,4,0,0,0,0,0,0,0.00,0.00,0.00
Browns,CLE,4,WR,551027226,Amari Cooper,10,0,7060,2,6,26.50,3,4,0,6,0,0,1,15,0.17,5.00,0.88
Buccaneers,TB,5,WR,551026819,Javon Baker,1,0,10004,6,11,74.90,6,13,0,16,2,0,3,25,0.27,4.17,1.47
Buccaneers,TB,5,WR,551027985,Andrei Iosivas,2,0,2229,84,2,0.00,1,1,0,0,0,0,0,0,0.00,0.00,0.00
Buccaneers,TB,5,QB,551028967,Desmond Ridder,3,0,1912,19,1,-0.20,2,0,0,0,0,0,0,-2,0.00,-1.00,-0.13
Buccaneers,TB,5,HB,551027983,Keaontay Ingram,3,0,1774,45,7,10.70,36,8,1,17,2,0,35,134,5.00,3.72,19.14
Buccaneers,TB,5,HB,551028236,Zonovan Knight,3,0,1801,30,5,5.70,12,1,1,31,0,1,9,46,1.80,3.83,4.18
Buccaneers,TB,5,HB,551027365,A.J. Dillon,5,0,716,17,10,27.64,76,21,0,56,2,6,124,473,12.40,6.22,39.42
Buccaneers,TB,5,WR,551028261,CeeDee Lamb,5,0,418,8,11,70.80,9,11,0,21,0,1,21,58,1.91,6.44,3.41
Buccaneers,TB,5,QB,551029303,Tua Tagovailoa,5,0,600,1,9,95.72,19,0,0,10,0,0,2,18,0.22,0.95,1.06
Buccaneers,TB,5,TE,551027499,Noah Fant,6,0,9452,16,6,22.60,0,9,0,0,0,0,0,0,0.00,0.00,0.00
Buccaneers,TB,5,HB,551028101,Ty Johnson,6,0,136,25,2,0.00,0,2,0,0,0,0,0,0,0.00,0.00,0.00
Buccaneers,TB,5,TE,551029214,Durham Smythe,7,0,9064,86,2,2.30,1,1,0,1,0,0,0,1,0.00,1.00,0.06
Buccaneers,TB,5,HB,551029659,Jeff Wilson Jr,7,0,9121,41,13,8.80,20,34,1,20,0,1,13,57,1.00,2.85,3.35
Buccaneers,TB,5,HB,551027162,Nick Chubb,7,7,8846,2,11,107.60,178,43,0,63,13,8,343,888,31.18,4.99,80.73
Buccaneers,TB,5,WR,551029059,Curtis Samuel,8,0,8716,11,8,35.44,9,6,1,8,1,0,4,9,0.50,1.00,0.53
Buccaneers,TB,5,TE,551027030,Pharaoh Brown,8,0,8493,89,5,23.50,0,7,0,0,0,0,0,0,0.00,0.00,0.00
Buccaneers,TB,5,WR,551029119,Sterling Shepard,9,0,8213,83,1,2.40,1,1,0,24,0,1,6,24,6.00,24.00,4.80
Buccaneers,TB,5,WR,551027677,Marquise Goodwin,11,6,5825,80,3,0.00,0,7,0,0,0,0,0,0,0.00,0.00,0.00
Cardinals,ARI,6,TE,551029148,Ben Sinnott,1,0,10247,82,6,56.30,0,7,0,0,0,0,0,0,0.00,0.00,0.00
Cardinals,ARI,6,WR,551028962,Rashee Rice,2,0,2366,85,6,24.30,1,6,1,0,0,0,0,-3,0.00,-3.00,-0.20
Cardinals,ARI,6,HB,551029231,Isaiah Spiller,3,0,1954,28,9,22.10,28,7,1,24,2,2,42,137,4.67,4.89,8.06
Cardinals,ARI,6,HB,551026911,Raheem Blackshear,3,0,2842,29,4,0.00,0,8,0,0,0,0,0,0,0.00,0.00,0.00
Cardinals,ARI,6,TE,551027693,Kylen Granson,4,0,1383,83,4,14.90,3,3,0,5,2,0,0,11,0.00,3.67,0.65
Cardinals,ARI,6,WR,551029551,Quez Watkins,5,0,651,89,4,0.00,0,5,0,0,0,0,0,0,0.00,0.00,0.00
Cardinals,ARI,6,HB,551027436,Gus Edwards,6,0,9764,26,16,51.20,95,21,2,65,2,4,168,460,10.50,4.84,27.06
Cardinals,ARI,6,QB,551027665,Jared Goff,9,0,8021,11,12,155.68,30,4,0,13,2,0,8,107,0.67,3.57,6.29
Cardinals,ARI,6,WR,551027884,Tyreek Hill,9,0,8052,2,6,6.90,0,12,3,0,0,0,0,0,0.00,0.00,0.00
Cardinals,ARI,6,WR,551026711,Nelson Agholor,10,0,6985,80,5,24.70,3,4,0,8,0,0,0,19,0.00,6.33,1.12
Cardinals,ARI,6,HB,551028613,Raheem Mostert,10,0,7768,31,11,71.00,133,28,1,25,6,2,55,517,5.00,3.89,47.00
Cardinals,ARI,6,WR,551027486,Mike Evans,11,0,6407,13,9,50.80,8,5,0,8,0,0,1,26,0.11,3.25,1.53
Chargers,LAC,7,WR,551027684,Anthony Gould,1,0,10086,6,4,0.00,0,4,0,0,0,0,0,0,0.00,0.00,0.00
Chargers,LAC,7,WR,551029512,Devontez Walker,1,0,10281,82,7,15.60,0,9,1,0,0,0,0,0,0.00,0.00,0.00
Chargers,LAC,7,QB,551028545,Joe Milton III,1,0,10180,1,6,95.96,11,0,2,10,0,0,1,53,0.17,4.82,3.53
